epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,23241.6,1.17233,0.6392,1.29976,0.8416,0.78597,0.82747,0.45084,1.69839,0.80808,1.85787,0.004555,0.004555,0.004555
57,23451,1.16493,0.6281,1.30038,0.86716,0.765,0.82925,0.45329,1.70702,0.79996,1.87805,0.004456,0.004456,0.004456
58,23734.5,1.15598,0.61699,1.29663,0.83732,0.78111,0.82442,0.45212,1.70553,0.78199,1.89733,0.004357,0.004357,0.004357
59,24062.1,1.14223,0.61681,1.28875,0.86451,0.77177,0.83358,0.45822,1.69254,0.78959,1.87246,0.004258,0.004258,0.004258
60,24933.1,1.14289,0.61216,1.28514,0.84163,0.79933,0.82412,0.4534,1.69375,0.7954,1.88771,0.004159,0.004159,0.004159
61,25297.3,1.12789,0.60343,1.2833,0.85335,0.79727,0.83509,0.44659,1.72857,0.79483,1.94482,0.00406,0.00406,0.00406
62,25603.8,1.1112,0.5786,1.27425,0.81689,0.80402,0.82114,0.44096,1.7272,0.77644,1.97459,0.003961,0.003961,0.003961
63,25932.8,1.11594,0.58708,1.27421,0.8423,0.76402,0.81312,0.44696,1.72004,0.79232,1.94796,0.003862,0.003862,0.003862
64,26507.1,1.13087,0.5998,1.2748,0.84992,0.77604,0.82083,0.44543,1.75337,0.78451,1.97736,0.003763,0.003763,0.003763
65,26810.6,1.11354,0.59728,1.26635,0.85126,0.78302,0.83438,0.44756,1.70512,0.78904,1.9376,0.003664,0.003664,0.003664
66,27106.6,1.07455,0.56441,1.2408,0.8869,0.78189,0.84346,0.45362,1.70424,0.76244,1.93082,0.003565,0.003565,0.003565
67,27471.3,1.08656,0.57172,1.25203,0.86651,0.78046,0.82732,0.44718,1.69874,0.78812,1.91439,0.003466,0.003466,0.003466
68,27655.8,1.07788,0.56569,1.23426,0.85985,0.75254,0.81619,0.44169,1.71432,0.79107,1.93829,0.003367,0.003367,0.003367
69,27849.7,1.1005,0.5813,1.25615,0.85119,0.78556,0.81856,0.44836,1.72992,0.78995,1.93852,0.003268,0.003268,0.003268
70,28158.4,1.05455,0.56002,1.24633,0.87218,0.77038,0.82249,0.44861,1.73072,0.80063,1.9599,0.003169,0.003169,0.003169
71,28370.9,1.07184,0.57067,1.24809,0.86734,0.77008,0.82478,0.44632,1.71123,0.78037,1.95923,0.00307,0.00307,0.00307
72,28986.5,1.06487,0.56413,1.24431,0.87093,0.77212,0.83457,0.45088,1.70616,0.78168,1.94547,0.002971,0.002971,0.002971
73,29336,1.04802,0.55116,1.22515,0.86595,0.77453,0.82995,0.45201,1.70836,0.79184,1.94014,0.002872,0.002872,0.002872
74,29595.1,1.04389,0.54574,1.23394,0.862,0.7767,0.81903,0.44833,1.71311,0.79174,1.94368,0.002773,0.002773,0.002773
75,29892.5,1.03586,0.54931,1.232,0.86928,0.76748,0.81751,0.44819,1.72376,0.79243,1.95422,0.002674,0.002674,0.002674
76,30193.8,1.04104,0.54928,1.22276,0.85361,0.77342,0.82229,0.44758,1.71939,0.8094,1.97267,0.002575,0.002575,0.002575
77,30730.4,1.01995,0.54121,1.21699,0.87363,0.7587,0.82856,0.4434,1.73895,0.81075,1.98767,0.002476,0.002476,0.002476
78,31008.9,0.99663,0.52754,1.20656,0.86048,0.78127,0.82896,0.44942,1.72085,0.79707,1.99121,0.002377,0.002377,0.002377
79,31306.2,1.0074,0.53058,1.21352,0.86887,0.77582,0.83004,0.44911,1.73188,0.79113,2.02593,0.002278,0.002278,0.002278
